"","head_neck","shoulder_arm","hand","pelvis","leg","foot","trunk"
"acrobatics/gymnastics",24,651,257,2,69,225,8
"all-terrain vehicles (number of wheels not specified)",9,37,21,6,19,13,27
"altar",8,13,8,2,3,4,3
"ball pits",12,311,83,3,54,42,8
"ball sports (not specified)",7,13,63,1,5,12,0
"banisters",2,13,9,0,0,4,6
"baseball",945,593,1079,33,238,320,32
"basketball",644,1087,3467,36,711,1621,66
"bathroom stall door",2,5,23,0,0,6,0
"benches",12,35,18,1,7,10,6
"bicycle pumps",76,399,259,28,62,83,70
"bleachers",18,39,18,4,18,24,7
"bounce house",15,133,70,1,56,57,15
"bouncy balls",2,14,28,1,7,4,0
"bowling",3,46,212,13,19,50,8
"bridles (horseback riding)",44,234,142,27,70,44,158
"built-in swimming pools",3,9,6,0,7,24,4
"ceilings and walls",5,32,58,0,6,18,2
"cheerleading",40,156,88,3,19,50,8
"cleats",3,8,13,1,10,41,1
"climbing apparatus, playground",25,2633,711,1,118,113,21
"dancing",14,57,77,14,38,153,1
"deer/tree stands",6,5,4,4,9,18,28
"diving board",36,7,8,1,6,15,8
"fence/fence post",3,42,19,1,15,17,6
"field hockey",13,8,59,0,4,10,0
"fishing",10,31,35,9,38,44,25
"flying discs or boomerangs",15,24,15,1,12,31,6
"football",295,2906,3670,61,986,1014,137
"four-wheeled, all-terrain vehicles",35,135,79,12,62,44,65
"go-carts",4,30,28,2,3,8,21
"golf",30,34,30,12,26,70,18
"golf carts",28,43,26,3,31,36,16
"hockey (not specified)",42,173,170,1,43,41,18
"ice hockey",32,212,171,6,72,67,18
"ice skating",25,272,280,13,155,123,16
"in-line skating",3,100,98,0,28,18,5
"jujitsu",76,156,210,4,40,216,33
"knee boarding",14,8,10,2,32,12,17
"lacrosse",31,176,191,3,22,40,9
"lawn chair",2,11,11,2,2,8,11
"loading docks",3,15,7,2,6,10,4
"mountain climbing",6,21,16,3,23,72,19
"mountain/all-terrain biking",18,74,49,4,14,20,24
"other ball sports",15,73,183,5,24,46,4
"paddle ball",6,7,24,0,4,16,1
"patios/flooring",13,48,41,13,15,11,5
"pet cages",0,7,17,5,2,3,2
"play sand (for sandboxes)",15,547,138,2,79,61,3
"pole vault",14,92,42,39,46,65,4
"poles",8,13,22,0,5,12,1
"punching bags",70,14,207,1,3,7,8
"rodeo",30,117,121,6,50,109,29
"roller hockey",5,12,8,0,3,4,0
"rolling skating",7,838,631,13,261,258,34
"rope or string",0,13,26,2,5,15,3
"rugby",76,86,74,0,37,48,14
"seesaw",2,48,14,0,6,8,2
"skateboarding",33,344,352,3,95,169,13
"skating (not specified)",1,67,65,0,29,13,4
"sleds",28,87,59,2,47,41,37
"slides",16,784,216,0,392,100,12
"snow skiiing",49,484,268,55,438,67,107
"snow tubing",5,11,8,0,11,3,4
"snowboarding",27,922,730,16,98,55,84
"snowmobiles",8,32,18,3,22,9,20
"soccer",417,2113,1960,69,856,1308,80
"softball",511,214,714,4,215,279,36
"stairs",17,77,26,8,32,65,15
"standup scooter (unpowered)",2,66,58,0,11,15,0
"stretching exercise",61,202,229,48,171,423,71
"swimming pools (not specified)",26,23,22,1,13,65,11
"swimsuit",26,12,26,1,14,36,11
"swings",15,518,190,2,66,58,7
"tennis",21,88,148,15,27,62,20
"trampolines",14,94,33,0,87,54,3
"treadmills",6,46,49,6,9,52,8
"two-wheeled, powered, off-road vehicles",32,312,130,18,163,118,83
"volleyball",21,66,270,3,50,160,13
"water slides",4,21,10,0,11,15,4
"water tubing",20,20,15,2,8,6,9
"weight lifting",14,23,152,0,4,115,21
"windsurfing",32,54,38,1,26,57,19
"wrestling",48,261,202,2,63,57,18
