"","cramer's v","l.ci","u.ci","chi square","p-value"
"acrobatics/gymnastics",0.35512543105397,0.302805770115415,0.396130073172177,159.282072659741,8.40400636528737e-32
"all-terrain vehicles (number of wheels not specified)",0.296417747418038,0.0652560357016575,0.379629881492832,13.9702934765171,0.0299697682617346
"altar",0.2765763150855,0,0.356465221681292,5.20162314850662,0.518225853610093
"ball pits",0.392781895264223,0.308704156016543,0.452575551194325,83.3099133135719,7.38975133895561e-16
"ball sports (not specified)",0.583834715639972,0.398016792901127,0.698565160049675,43.6304608238602,8.75022169673933e-08
"banisters",0.508081284806006,0.162300199896738,0.646705288787206,15.7469421101774,0.0151786438582206
"baseball",0.131874440366407,0.0963122502011505,0.155297470099048,56.8159658277203,1.99054564615517e-10
"basketball",0.109365052896592,0.0872298180472645,0.125369130151888,91.607114615475,1.40440947476137e-17
"bathroom stall door",0.717989734786828,0.440539481192898,0.875014031514686,32.4770833333333,1.32166382868755e-05
"benches",0.296986031300686,0,0.385321448383463,10.2312815233769,0.115244095708406
"bicycle pumps",0.157789669311653,0.0845323229973481,0.195464776554012,24.9971700604467,0.000341866802873215
"bleachers",0.240775917966932,0,0.313455127181739,8.98582161428688,0.174377024949331
"bounce house",0.336831068194512,0.227696866098031,0.403717640698565,42.432233019395,1.51057747715296e-07
"bouncy balls",0.605116533742915,0.360441724926839,0.740525096202314,30.3917796109504,3.31086189954282e-05
"bowling",0.52088836909905,0.422183601786909,0.59358755137651,102.560733977689,7.32867918756215e-20
"bridles (horseback riding)",0.18732192236931,0.103204493052911,0.23138290442857,26.1767689396998,0.000206377250397109
"built-in swimming pools",0.481342885923682,0.199184717771977,0.607106833589129,18.5352779063471,0.00502489274813247
"ceilings and walls",0.537018893029804,0.363677228602086,0.643425478322544,42.6816151377014,1.34847232513533e-07
"cheerleading",0.278028075436567,0.165181446736413,0.340361014560162,30.2241477958058,3.56329944919959e-05
"cleats",0.580807991180655,0.367699172126564,0.704419118755652,35.083143952408,4.15256668811075e-06
"climbing apparatus, playground",0.337435438110511,0.308082000750339,0.362707076135404,415.484900683945,1.30858423815861e-86
"dancing",0.460419840376217,0.360044555982238,0.531411729078752,80.7668296059955,2.48074405352728e-15
"deer/tree stands",0.421557877850374,0.167532038007057,0.532700016937323,17.9488154821488,0.00636138889499411
"diving board",0.285362225864108,0,0.371660506830174,8.79461279461279,0.185462641249911
"fence/fence post",0.448884364141767,0.247411019214001,0.554446653289807,26.1946324082246,0.00020480028352338
"field hockey",0.589301083751955,0.397166989124251,0.706742148105832,42.0203678446586,1.82182205305395e-07
"fishing",0.331849028590591,0.173669472279348,0.411998532484697,24.1171073330577,0.000496976898238381
"flying discs or boomerangs",0.29183464384386,0,0.377482860909378,11.1569371745189,0.0836455228374575
"football",0.104810913320736,0.0846475282149754,0.119600413501175,99.9225394050492,2.60443748455423e-19
"four-wheeled, all-terrain vehicles",0.187823235953554,0.0634674146936092,0.238708065305627,16.1924036955056,0.0127576822059186
"go-carts",0.43876124850983,0.226763391597631,0.545336248930927,23.6789062828502,0.000598246806768487
"golf",0.22319476129589,0,0.287548147353983,12.3045276630726,0.0555099331390939
"golf carts",0.192166403166958,0,0.250649671409752,7.7548645662864,0.256618299862646
"hockey (not specified)",0.263026349960536,0.167503266372702,0.318694019880012,35.6291732983846,3.25392709522483e-06
"ice hockey",0.259966902187839,0.173694810227267,0.312304145174504,40.8875880910505,3.04712131520167e-07
"ice skating",0.29745735165498,0.232527947309181,0.34335753205279,80.6060780848248,2.67794136129224e-15
"in-line skating",0.54222480982156,0.425093193048682,0.625299476221269,82.0281606837014,1.36087087255518e-15
"jujitsu",0.195304833314263,0.113856984205943,0.239675036229836,29.065711171925,5.91193899680384e-05
"knee boarding",0.32667252025058,0.0410899764556199,0.419792261576114,13.0192221293976,0.0427317115213132
"lacrosse",0.313069127911684,0.220391578881056,0.371994797076699,48.9081271468397,7.77838020924385e-09
"lawn chair",0.443459220343446,0.114799491002569,0.566786151044325,14.5525499279636,0.0240374443648597
"loading docks",0.369770947205456,0,0.47991201310581,10.1180609513943,0.119767456416027
"mountain climbing",0.410542456360431,0.248630391953137,0.501262704557218,31.5179352847233,2.01825195246802e-05
"mountain/all-terrain biking",0.259848146585059,0.0804851159205762,0.330993768823304,15.5298436352488,0.0165127742394103
"other ball sports",0.406917667694406,0.303344798221512,0.476549235130552,62.4244095822594,1.44590894057809e-11
"paddle ball",0.546099778933893,0.295131252169974,0.675898664867924,25.34912232689,0.000294185422133936
"patios/flooring",0.346802236001788,0.161815493447269,0.434450047439664,20.8070198249803,0.00198695059371898
"pet cages",0.629684093504964,0.337195825323469,0.780063463676128,24.9796296296296,0.000344432681141237
"play sand (for sandboxes)",0.433273973508637,0.370416559337499,0.482703068869229,163.697365096608,9.75378781292765e-33
"pole vault",0.378600067855752,0.263917649206693,0.450850660574392,47.1582057441451,1.73998727471651e-08
"poles",0.47000244606355,0.205216558228898,0.591163548181468,19.4394023389034,0.00348245725545494
"punching bags",0.458830740779485,0.35074319118625,0.533421570664149,70.9471436065925,2.61382461118877e-13
"rodeo",0.240433685326288,0.138201336970048,0.295570212481895,28.2682865923548,8.36367701062312e-05
"roller hockey",0.455841879377383,0,0.587382002981724,12.259717320664,0.0564193851031796
"rolling skating",0.412531050941744,0.373289744612789,0.445873814435646,352.106284873586,5.44857401266651e-73
"rope or string",0.594889843378132,0.363674852290614,0.725379414433542,32.2043472436557,1.49097303912549e-05
"rugby",0.251359488543842,0.126708834472335,0.313080487971387,22.8717364781299,0.00084059527041443
"seesaw",0.54651225543652,0.332993462639973,0.666704682059404,31.9582940516274,1.6620734011113e-05
"skateboarding",0.297991129140542,0.237826585868464,0.341522676096837,91.9954667161277,1.16616131248574e-17
"skating (not specified)",0.587339353635079,0.449119473162218,0.682759795391219,71.0633083636653,2.47418765220286e-13
"sleds",0.220188388641891,0.0717934789005975,0.280116343591931,15.9023998896097,0.0142875247434319
"slides",0.405965418619203,0.359917763376187,0.443979365662382,254.957853964387,3.57491374695781e-52
"snow skiiing",0.198977229262767,0.146656262085437,0.233750901465508,59.1899469588065,6.57355360056477e-11
"snow tubing",0.376853971490868,0,0.489583080842633,9.79930519216233,0.133362129678335
"snowboarding",0.273750753639749,0.23151865913785,0.306506922403092,146.80643175681,3.66117301808508e-29
"snowmobiles",0.310030444070345,0.0517878108365335,0.39793478608815,13.3605237988133,0.0376549511289541
"soccer",0.103767882849771,0.079845426743897,0.120391734515471,73.5438930809751,7.65172863681539e-14
"softball",0.156831677523949,0.1105747798808,0.186285975813365,49.1923501499517,6.82337768577805e-09
"stairs",0.271786226522731,0.120460462827887,0.34155924549848,19.7226900316332,0.00310224017370861
"standup scooter (unpowered)",0.632023116073666,0.483842311124668,0.734437456732382,71.5021262460126,2.0106746817448e-13
"stretching exercise",0.182670548080277,0.122262430949161,0.219372019510075,41.1100278954888,2.7546803850365e-07
"swimming pools (not specified)",0.289883336014949,0.0932342342574329,0.368905086484675,15.7980815178413,0.0148797711762083
"swimsuit",0.304412632226807,0.0715259675704709,0.389593401226874,14.1780587508658,0.0277091741640948
"swings",0.396813055982169,0.333675255996791,0.445428670809092,139.037711034353,1.59960406434352e-27
"tennis",0.289303568905197,0.181218334435052,0.351464083099729,34.148194432364,6.29831596884165e-06
"trampolines",0.433308619162667,0.318642880346588,0.509349610022951,58.579984145485,8.74096714134831e-11
"treadmills",0.429321486678939,0.278369353968863,0.518603204172283,37.4163386016155,1.46057738161664e-06
"two-wheeled, powered, off-road vehicles",0.222927491521019,0.152235263728295,0.266644397565471,43.8821564981791,7.80068710861278e-08
"volleyball",0.34676515293439,0.266698748872854,0.402381565176819,73.3501034866626,8.38708383793116e-14
"water slides",0.421754009516343,0.14534305143051,0.535711159330509,16.3646328979662,0.011925049418369
"water tubing",0.190453336684308,0,0.236424297292598,3.88115465959795,0.692755580916487
"weight lifting",0.469626433965321,0.365507996289094,0.542881598888446,78.5154395425184,7.23644336890135e-15
"windsurfing",0.22437849325653,0.0192236817370651,0.28858378694628,12.7878098919619,0.0465320585958676
"wrestling",0.248612830756935,0.167409389436153,0.298209172082938,41.90605426031,1.91900004006982e-07
